
  Product name        Amount         Price (per kg)
========================================================
P Apple (red)         11078 g        $7.57
P Banana              12.492kg       $19.7
P watermelon          6166g          $ 27.7
P Apple (green)       9266g          $10.68
S Apple (red)         1737 g         $9.10
S Apple (red)         1.196 kg       $9.1
P Pineapple           17818 g        $ 56.90
P Orange              6768g          $23.32
S Apple (red)         0.603kg        $9.5
S Apple (red)         623g           $8.39
S Orange              553g           $23.82
S Banana              0.905kg        $21.93
S Apple (green)       443g           $ 11.9
P Orange              14.197 kg      $21.08
P Pear                3.468kg        $ 18.01
S Orange              1.794 kg       $23.2
S banana              1690g          $20.5
S Pear                1407 g         $17.25
S Banana              0.878kg        $ 19.32
S Apple (red)         1562g          $7.69
S Apple (green)       1798g          $13.0
S apple (red)         1174g          $ 7.93
S banana              201g           $ 21.1
S Orange              1391g          $27
S Pear                952 g          $19.3
S Pear                148g           $20.84
S Orange              1.801kg        $27.66
S apple (green)       415 g          $12.09
S Pineapple           269g           $60.98
S Apple (green)       1274 g         $12
S banana              0.551 kg       $23
P Pear                1932 g         $14.71
S apple (green)       0.776kg        $11.48
S Orange              1.605 kg       $24.87
S Watermelon          1.852kg        $31
S Pear                1111 g         $17.68
S Orange              623g           $26.01
S Apple (red)         937g           $9.58
S apple (green)       1842 g         $11.91
S Watermelon          1.656kg        $30.7
S Apple (red)         1204 g         $7.93
S Pineapple           1.45kg         $66.5
S Pear                1048 g         $18.9
S Banana              0.935 kg       $21.3
S Apple (green)       0.726 kg       $11.53
S Apple (red)         0.861 kg       $9.0
S Orange              0.984kg        $22.9
S Pineapple           1.058kg        $67.52
P Apple (red)         1.259kg        $7.39
S Banana              1.504 kg       $ 19.64
S pear                474g           $19.82
S apple (red)         0.827kg        $8.23
S Pineapple           0.959 kg       $61.76
P Apple (red)         1.838 kg       $7.40
P Pear                1633 g         $15.42
S watermelon          725 g          $33.41
P Pear                18533 g        $14.5
S Pineapple           1.571 kg       $55.42
S apple (green)       1.251 kg       $12.31
S Banana              0.875 kg       $20.54
S Banana              0.613kg        $ 19.69
S Pear                1.958kg        $ 18.53
S Banana              1.884 kg       $20.5
S Orange              518 g          $28
P orange              4300 g         $23.93
S Banana              1.137kg        $22.4
S Orange              1.041 kg       $ 24.98
P Pear                14.335kg       $ 17.74
S Orange              0.635 kg       $27.6
S orange              0.572 kg       $25.30
S Apple (green)       186 g          $ 13.59
S Apple (red)         867 g          $8
S orange              1012g          $25.4
S Pineapple           788g           $67.4
P Orange              1.438 kg       $20.57
S Apple (red)         1.452 kg       $7.7
P Apple (red)         1.767 kg       $6
P Pear                17.093 kg      $15.67
S Apple (green)       281g           $ 11
S Banana              178 g          $19.99
P Apple (green)       1.919kg        $12.2
S Apple (green)       1209 g         $13.5
S Banana              112 g          $20.78
S Orange              1.054kg        $25.76
S Banana              0.859kg        $23.25
P Apple (green)       1.224kg        $12.38
S Orange              983g           $25.5
S Watermelon          549g           $33.13
S Orange              1895 g         $23.59
S Apple (green)       1558 g         $ 12.6
S Pineapple           1.415kg        $ 57.61
P Banana              1228g          $18.2
S Banana              695 g          $23.27
P Apple (green)       1938g          $11.46
S orange              0.68kg         $ 26.3
P Banana              714 g          $19.52
S apple (green)       755 g          $14.25
S Pineapple           334g           $60.4
S Watermelon          0.909 kg       $32.64
P Banana              1887 g         $18
S Apple (red)         1701 g         $8.19
P Watermelon          17498g         $28.37
S Pear                793 g          $18.51
S Watermelon          262 g          $31.50
S Orange              907 g          $ 24.39
S banana              318g           $20.50
S Banana              206 g          $20.5
S Watermelon          341 g          $30.78
S Watermelon          1462g          $ 31.71
S Watermelon          917g           $ 35.4
S Orange              1.939 kg       $25
S Pineapple           1545 g         $67.77
S Pear                1.978 kg       $20.18
S Pineapple           1.265 kg       $68.50
S Pear                1.603kg        $19.63
S Watermelon          1.375 kg       $34
P Banana              1032g          $ 20
S Apple (red)         369g           $9.32
S Watermelon          0.929kg        $30.42
S Apple (green)       681g           $12.17
S Apple (green)       1108 g         $13.20
S pineapple           1981g          $ 63.97
S apple (red)         0.656kg        $8.3
S Banana              1.463kg        $20.24
S Orange              1.08 kg        $25.1
S pear                1166 g         $19
P Apple (red)         699 g          $7.52
P Apple (red)         1.322 kg       $6.7
S Pineapple           1973g          $68
S Watermelon          1.024 kg       $ 35.91
S Orange              324g           $24.78
S Watermelon          1.563 kg       $ 33.62
S Pineapple           0.792 kg       $68.19
S Apple (red)         1387g          $ 7.95
S Pear                0.954kg        $19.9
S Watermelon          197g           $31.8
S Pear                1813g          $ 17.8
S Watermelon          718 g          $ 33.36
S Banana              1261 g         $ 21.5
S Watermelon          1.882kg        $29.67
S Watermelon          1.342 kg       $32.6
S Orange              1.685kg        $24
P Apple (green)       1004 g         $9.89
P Apple (red)         1.318kg        $ 6.4
S Banana              0.639 kg       $ 19
S Orange              1781 g         $28.31
S Pineapple           170 g          $ 57.59
S Pear                770g           $18.07
S Pear                277 g          $18.7
S Watermelon          852g           $31.23
S Pineapple           699g           $57.89
S Pineapple           0.755kg        $ 59
P banana              1.576kg        $17.71
S apple (green)       0.78 kg        $ 13.71
S orange              0.708kg        $27.59
S Orange              0.741kg        $ 27.24
P apple (green)       1.395kg        $12
S Apple (red)         0.721 kg       $7.89
P Apple (red)         18506g         $ 7.00
S Banana              1631 g         $22.78
P Orange              888g           $20.82
P Pear                19.636 kg      $ 14.6
P Pineapple           1292g          $51.42
S watermelon          0.87kg         $29.5
P Orange              1959 g         $24.27
S Apple (green)       464 g          $14.15
S Pineapple           105 g          $65.8
S Watermelon          339 g          $33
S Apple (red)         223g           $ 8.1
P banana              10328 g        $ 17
S orange              1857g          $24
S Orange              398g           $28.66
P Pear                1200g          $18.88
P Banana              12088g         $20.38
S Pear                558 g          $ 21.58
S Apple (red)         1769 g         $8.62
S Orange              0.777 kg       $24.14
S pineapple           368g           $66.8
P Apple (red)         6286g          $8.13
S Banana              722 g          $22.02
S Pineapple           774 g          $58
P Pineapple           10.769 kg      $56.52
S Pineapple           1.27 kg        $66.24
P Watermelon          5142 g         $30.3
S pineapple           0.555 kg       $67.1
S Watermelon          1979g          $29.8
S Apple (red)         1229 g         $8
S Apple (green)       1198g          $13
P Orange              1.782 kg       $24.06
P apple (green)       185 g          $9.90
S pineapple           1449 g         $55.43
S Banana              153g           $ 21.81
S apple (red)         1100 g         $7.91
S Pear                1.674 kg       $ 21.1
S Apple (red)         797g           $8.36
